lane_id,det_id
145296839#19_0,e1det_145296839#19_0
145296839#1_0,e1det_145296839#1_0
145296839#20_0,e1det_145296839#20_0
145296839#2_0,e1det_145296839#2_0
145296839#4_0,e1det_145296839#4_0
145296839#5_0,e1det_145296839#5_0
145296839#6_0,e1det_145296839#6_0
145296839#7_0,e1det_145296839#7_0
145296839#9_0,e1det_145296839#9_0
145296840#0_0,e1det_145296840#0_0
145296840#10_0,e1det_145296840#10_0
145296840#12_0,e1det_145296840#12_0
145296840#14_0,e1det_145296840#14_0
145296840#15_0,e1det_145296840#15_0
145296840#16_0,e1det_145296840#16_0
145296840#17_0,e1det_145296840#17_0
145296840#18_0,e1det_145296840#18_0
145296840#19_0,e1det_145296840#19_0
145296840#1_0,e1det_145296840#1_0
145296840#20_0,e1det_145296840#20_0
145296840#21_0,e1det_145296840#21_0
145296840#2_0,e1det_145296840#2_0
145296840#7_0,e1det_145296840#7_0
146451491#0_0,e1det_146451491#0_0
146451491#5_0,e1det_146451491#5_0
146451491#8_0,e1det_146451491#8_0
146451492#10_0,e1det_146451492#10_0
146451492#11_0,e1det_146451492#11_0
146451492#3_0,e1det_146451492#3_0
146451492#4_0,e1det_146451492#4_0
146451492#6_0,e1det_146451492#6_0
146451493#1_0,e1det_146451493#1_0
146451493#1_1,e1det_146451493#1_1
146452466_0,e1det_146452466_0
146452468_0,e1det_146452468_0
146452468_1,e1det_146452468_1
146747108_0,e1det_146747108_0
146747108_1,e1det_146747108_1
150522812#4_0,e1det_150522812#4_0
150522812#5_0,e1det_150522812#5_0
150522819_0,e1det_150522819_0
150522819_1,e1det_150522819_1
150522819_2,e1det_150522819_2
150608623#0_0,e1det_150608623#0_0
150608623#0_1,e1det_150608623#0_1
150608623#0_2,e1det_150608623#0_2
150608623#1_0,e1det_150608623#1_0
150608623#1_1,e1det_150608623#1_1
150608623#1_2,e1det_150608623#1_2
150608626#5_0,e1det_150608626#5_0
150608626#5_1,e1det_150608626#5_1
150608626#5_2,e1det_150608626#5_2
150608626#5_3,e1det_150608626#5_3
150608626#6_0,e1det_150608626#6_0
150608626#6_1,e1det_150608626#6_1
150608626#6_2,e1det_150608626#6_2
150608626#6_3,e1det_150608626#6_3
152429645#1_0,e1det_152429645#1_0
152429645#2_0,e1det_152429645#2_0
152429648_0,e1det_152429648_0
152429655#2_0,e1det_152429655#2_0
152429655#6_0,e1det_152429655#6_0
152429673#12_0,e1det_152429673#12_0
